"Replicate","Timepoint","Phage.Genotype","Host.Genotype","Infected","Resisted"
"2.11","t4","8","8",0.667,0
"2.11","t4","9","9",0.722,0
"2.11","t4","10","10",0.806,0
"2.11","t4","11","11",0.722,0
"2.11","t4","12","12",0.806,0
"2.11","t9","1","1",1,0.556
"2.11","t9","2","2",1,0.528
"2.11","t9","3","3",1,0.556
"2.11","t9","4","4",1,0.417
"2.11","t9","5","5",1,0.667
"2.11","t9","6","6",1,0.583
"2.11","t9","7","7",1,0.528
"2.11","t9","8","8",1,0.583
"2.11","t9","9","9",1,0.583
"2.11","t9","10","10",1,0.5
"2.11","t9","11","11",1,0.667
"2.11","t9","12","12",1,0.639
