Replicate,Timepoint,Phage.Genotype,Host.Genotype,Infected,Resisted
2.7,t4,4,4,0.611,0.333
2.7,t4,5,5,0.611,0.333
2.7,t4,6,6,0.611,0.333
2.7,t4,7,7,0.611,0.333
2.7,t4,8,8,0.611,0.361
2.7,t4,9,9,0.611,0.333
2.7,t4,10,10,0.611,0.361
2.7,t4,11,11,0.611,0.333
2.7,t4,12,12,0.556,0.333
2.7,t9,1,1,0.306,0.806
2.7,t9,2,2,0.278,0.333
2.7,t9,3,3,0.139,0.806
2.7,t9,4,4,0.250,0.806
2.7,t9,5,5,0.278,1.000
2.7,t9,6,6,0.278,0.750
2.7,t9,7,7,0.250,0.806
2.7,t9,8,8,0.250,1.000
2.7,t9,9,9,0.056,0.806
2.7,t9,10,10,0.056,0.889
2.7,t9,11,11,0.056,0.944
2.7,t9,12,12,0.111,0.750
2.11,t1,1,1,1.000,0.000
2.11,t1,2,2,1.000,0.000
2.11,t1,3,3,1.000,0.000
2.11,t1,4,4,1.000,0.000
2.11,t1,5,5,1.000,0.000
2.11,t1,6,6,1.000,0.000
2.11,t1,7,7,1.000,0.000
2.11,t1,8,8,1.000,0.000
2.11,t1,9,9,1.000,0.000
2.11,t1,10,10,1.000,0.000
2.11,t1,11,11,1.000,0.000
2.11,t1,12,12,1.000,0.000
2.11,t4,1,1,1.000,0.000
2.11,t4,2,2,1.000,0.000
2.11,t4,3,3,1.000,0.000
2.11,t4,4,4,1.000,0.000
2.11,t4,5,5,1.000,0.000
2.11,t4,6,6,1.000,0.000
2.11,t4,7,7,1.000,0.000
2.11,t4,8,8,1.000,0.000
2.11,t4,9,9,1.000,0.000
2.11,t4,10,10,1.000,0.000
2.11,t4,11,11,1.000,0.000
2.11,t4,12,12,1.000,0.000
2.11,t9,1,1,0.583,0.556
2.11,t9,2,2,0.417,0.528
2.11,t9,3,3,0.361,0.556
2.11,t9,4,4,0.389,0.417
2.11,t9,5,5,0.444,0.667
2.11,t9,6,6,0.528,0.583
2.11,t9,7,7,0.417,0.528
2.11,t9,8,8,0.333,0.583
2.11,t9,9,9,0.389,0.583
2.11,t9,10,10,0.472,0.500
2.11,t9,11,11,0.389,0.667
2.11,t9,12,12,0.472,0.639
